cycle,presidential_party,midterm
2000,DEM,False
2002,REP,True
2004,REP,False
2006,REP,True
2008,REP,False
2010,DEM,True
2012,DEM,False
2014,DEM,True
2016,DEM,False
2018,REP,True
2020,REP,False
2022,DEM,True
2024,DEM,False
