state,colplus
Alabama,19
Alaska,24.7
Arizona,23.5
Arkansas,16.7
California,26.6
Colorado,32.7
Connecticut,31.4
Delaware,25
District of Columbia,39.9
Florida,22.3
Georgia,24.3
Hawaii,26.2
Idaho,21.7
Illinois,26.1
Indiana,19.4
Iowa,21.2
Kansas,25.8
Kentucky,17.1
Louisiana,18.7
Maine,22.9
Maryland,31.4
Massachusetts,33.2
Michigan,21.8
Minnesota,27.4
Mississippi,16.9
Missouri,21.6
Montana,24.4
Nebraska,23.7
Nevada,18.2
New Hampshire,28.7
New Jersey,29.8
New Mexico,23.5
New York,27.4
North Carolina,22.5
North Dakota,22
Ohio,21.1
Oklahoma,20.3
Oregon,25.1
Pennsylvania,22.4
Rhode Island,25.6
South Carolina,20.4
South Dakota,21.5
Tennessee,19.6
Texas,23.2
Utah,26.1
Vermont,29.4
Virginia,29.5
Washington,27.7
West Virginia,14.8
Wisconsin,22.4
Wyoming,21.9
