cycle,state_name,district,party,candidate,politician_id,exclusions
2004,Washington,Class III,GRE,Mark B. Wilson,12725,x
2004,Washington,Class III,REP,George R. Nethercutt,2083,
2004,Wisconsin,Class III,LIB,Arif Khan,12727,x
2004,Wisconsin,Class III,DEM,Russ Feingold,64,
2004,Wisconsin,Class III,REP,Tim Michels,2088,
2004,Wisconsin,Class III,IND,Eugene A. Hem,11588,x
2006,Arizona,Class I,LIB,Richard I. Mack,11156,x
2006,Arizona,Class I,DEM,Jim Pederson,1715,
2006,Arizona,Class I,REP,Jon Kyl,942,
2006,California,Class I,DEM,Dianne Feinstein,943,
2006,California,Class I,PAF,Marsha J. Feinland,6171,x
2006,California,Class I,AIP,Don J. Grundmann,6174,x
2006,California,Class I,LIB,Michael S. Metti,12729,x
2006,California,Class I,GRE,Todd Chretien,12728,x
2006,California,Class I,REP,Richard Dick Mountjoy,1719,
2006,Connecticut,Class I,DEM,Edward Lamont,433,x
2006,Connecticut,Class I,CNC,Timothy A. Knibbs,12699,x
2006,Connecticut,Class I,REP,Alan Schlesinger,1726,x
2006,Connecticut,Class I,GRE,Ralph A. Ferrucci,12730,x
2006,Connecticut,Class I,DEM,Joseph I. Lieberman,79,
2006,Delaware,Class I,LIB,William E. Morris,12731,x
2006,Delaware,Class I,DEM,Thomas R. Carper,951,
2006,Delaware,Class I,REP,Jan Ting,1729,
2006,Florida,Class I,NPA,Belinda Noah,12732,x
2006,Florida,Class I,NPA,Floyd Ray Frazier,12733,x
2006,Florida,Class I,NPA,Roy Tanner,12734,x
2006,Florida,Class I,DEM,Bill Nelson,953,
2006,Florida,Class I,NPA,Brian Patrick Moore,11604,x
2006,Florida,Class I,REP,Katherine Harris,1732,
2006,Hawaii,Class I,LIB,Lloyd Jeffrey Mallan,11544,x
2006,Hawaii,Class I,DEM,Daniel K. Akaka,963,
2006,Hawaii,Class I,REP,Cynthia Henry Thielen,14279,
2006,Indiana,Class I,LIB,Steve Osborn,14282,x
2006,Indiana,Class I,REP,Richard G. Lugar,193,
2006,Maine,Class I,REP,Olympia J. Snowe,983,
2006,Maine,Class I,IND,William H. Slavick,11261,x
2006,Maine,Class I,DEM,Jean M. Hay Bright,1776,
2006,Maryland,Class I,GRE,Kevin Zeese,11231,x
2006,Maryland,Class I,REP,Michael S. Steele,1754,
2006,Maryland,Class I,DEM,Benjamin L. Cardin,981,
2006,Massachusetts,Class I,DEM,Edward M. Kennedy,255,
2006,Massachusetts,Class I,REP,Kenneth G. Chase,1752,
2006,Michigan,Class I,LIB,Leonard C. Schwartz,4899,x
2006,Michigan,Class I,DEM,Debbie Stabenow,984,
2006,Michigan,Class I,GRE,David Sole,11185,x
2006,Michigan,Class I,REP,Mike Bouchard,606,
2006,Michigan,Class I,UST,W. Dennis FitzSimons,11263,x
2006,Minnesota,Class I,GRE,Michael James Cavlan,6131,x
2006,Minnesota,Class I,CON,Ben Powers,11259,x
2006,Minnesota,Class I,REP,Mark R. Kennedy,1787,
2006,Minnesota,Class I,IDP,Robert Fitzgerald,11203,x
2006,Minnesota,Class I,DEM,Amy Klobuchar,992,
2006,Mississippi,Class I,DEM,Erik R. Fleming,1627,
2006,Mississippi,Class I,REP,Trent Lott,1801,
2006,Mississippi,Class I,LIB,Harold M. Taylor,12574,x
2006,Missouri,Class I,PRO,Lydia Lewis,12737,x
2006,Missouri,Class I,DEM,Claire McCaskill,997,
2006,Missouri,Class I,LIB,Frank Gilmour,11265,x
2006,Missouri,Class I,REP,Jim Talent,1793,
2006,Montana,Class I,REP,Conrad Burns,1806,
2006,Montana,Class I,LIB,Stan Jones,9236,x
2006,Montana,Class I,DEM,Jon Tester,1002,
2006,Nebraska,Class I,DEM,Ben Nelson,1006,
2006,Nebraska,Class I,REP,Pete Ricketts,1819,
2006,Nevada,Class I,DEM,Jack Carter,1831,
2006,Nevada,Class I,LIB,Brendan J. Trainor,12738,x
2006,Nevada,Class I,REP,John Ensign,1022,
2006,Nevada,Class I,IAP,David K. Schumann,11234,x
2006,New Jersey,Class I,DEM,Bob Menendez,1012,
2006,New Jersey,Class I,REP,Thomas H. Kean Jr.,264,
2006,New Jersey,Class I,LIB,Len T. Flynn,6011,x
2006,New Jersey,Class I,SWP,Angela L. Lariscy,12216,x
2006,New Jersey,Class I,OTH,Robert Edward Forchion,6013,x
2006,New Jersey,Class I,OTH,N. Leonard Smith,12739,x
2006,New Jersey,Class I,SOC,Gregory Pason,6338,x
2006,New Jersey,Class I,OTH,Daryl Mikell Brooks,6327,x
2006,New Jersey,Class I,OTH,J. M. Carter,11165,x
2006,New Mexico,Class I,DEM,Jeff Bingaman,1014,
2006,New Mexico,Class I,REP,Allen W. McCulloch MD,1827,
2006,New York,Class I,GRE,Howie Hawkins,6572,x
2006,New York,Class I,LIB,Jeffrey T. Russell,12740,x
2006,New York,Class I,DEM,Hillary Rodham Clinton,28,
2006,New York,Class I,REP,John Spencer,1835,
2006,New York,Class I,SWP,Roger Calero,11594,x
2006,New York,Class I,SEP,William Van Auken,11591,x
2006,North Dakota,Class I,IND,James Germalic,2206,x
2006,North Dakota,Class I,DEM,Kent Conrad,1815,
2006,North Dakota,Class I,REP,Dwight Grotberg,14283,
2006,North Dakota,Class I,IND,Roland Riemers,9348,x
2006,Ohio,Class I,DEM,Sherrod Brown,1025,
2006,Ohio,Class I,REP,Mike DeWine,1842,
2006,Pennsylvania,Class I,DEM,Robert P. Casey Jr.,1032,
2006,Pennsylvania,Class I,REP,Rick Santorum,10,
2006,Rhode Island,Class I,DEM,Sheldon Whitehouse,1038,
2006,Rhode Island,Class I,REP,Lincoln Chafee,822,
2006,Tennessee,Class I,DEM,Harold E. Ford Jr.,2649,
2006,Tennessee,Class I,IND,Emory S. Heyward,12742,x
2006,Tennessee,Class I,W,Gloria D. Reagon Price,12744,x
2006,Tennessee,Class I,IND,James Anthony Gray,12593,x
2006,Tennessee,Class I,IND,Gary Keplinger,11861,x
2006,Tennessee,Class I,IND,David Gatchell,6227,x
2006,Tennessee,Class I,IND,Eduardo Bryan Choate,12741,x
2006,Tennessee,Class I,REP,Bob Corker,1043,
2006,Tennessee,Class I,IND,Christopher J. Lugo,12743,x
2006,Tennessee,Class I,W,Mary Taylor Shelby,12745,x
2006,Tennessee,Class I,IND,John Hooker,1850,x
2006,Texas,Class I,REP,Kay Bailey Hutchison,857,
2006,Texas,Class I,DEM,Barbara Ann Radnofsky,1862,
2006,Texas,Class I,LIB,Scott Lanier Jameson,12746,x
2006,Utah,Class I,CON,Scott N. Bradley,11178,x
2006,Utah,Class I,DEM,Pete Ashdown,1230,
2006,Utah,Class I,REP,Orrin G. Hatch,168,
2006,Utah,Class I,DGR,Julian Hatch,11179,x
2006,Utah,Class I,LIB,Dave Starr Seely,11180,x
2006,Utah,Class I,PCH,Roger I. Price,11181,x
2006,Vermont,Class I,IND,Cris Ericson,6318,x
2006,Vermont,Class I,REP,Rich Tarrant,1869,
2006,Vermont,Class I,LBU,Pete Diamondstone,6317,x
2006,Vermont,Class I,DEM,Bernie Sanders,37,
2006,Vermont,Class I,GRE,Craig Barclay Hill,12747,x
2006,Vermont,Class I,OTH,Peter D. Moss,6321,x
2006,Virginia,Class I,IGR,Glenda Gail Parker,4383,x
2006,Virginia,Class I,REP,George F. Allen,61,
2006,Virginia,Class I,DEM,Jim Webb,1059,
2006,Washington,Class I,LIB,Bruce M. Guthrie,11266,x
2006,Washington,Class I,IND,Robin Adair,11267,x
2006,Washington,Class I,GRE,Aaron Dixon,11183,x
2006,Washington,Class I,REP,Mike McGavick,1875,
2006,Washington,Class I,DEM,Maria Cantwell,1066,
2006,West Virginia,Class I,REP,John Raese,927,
2006,West Virginia,Class I,DEM,Robert C. Byrd,296,
2006,Wisconsin,Class I,GRE,Rae S. Vogeler,11276,x
2006,Wisconsin,Class I,REP,Robert Gerald Lorge,1885,
2006,Wisconsin,Class I,IND,Ben J. Glatzel,11314,x
2006,Wisconsin,Class I,DEM,Herb Kohl,1068,
2006,Wyoming,Class I,DEM,Dale Groutage,1896,
2006,Wyoming,Class I,REP,Craig Thomas,1895,
2008,Alabama,Class II,REP,Jeff Sessions,1536,
2008,Alabama,Class II,DEM,Vivian Davis Figures,1537,
2008,Alaska,Class II,DEM,Mark Begich,1526,
2008,Alaska,Class II,NPA,Ted Gianoutsos,6358,x
2008,Alaska,Class II,AKI,Robert Bird,11207,x
2008,Alaska,Class II,REP,Ted Stevens,1527,
2008,Alaska,Class II,LIB,Fredrick David Haase,11248,x
2008,Arkansas,Class II,GRE,Rebekah J. Kennedy,5434,x
2008,Arkansas,Class II,DEM,Mark L. Pryor,1541,
2008,Colorado,Class II,DEM,Mark Udall,1543,
2008,Colorado,Class II,CON,Douglas Campbell,3851,x
2008,Colorado,Class II,REP,Bob Schaffer,1544,
2008,Colorado,Class II,GRE,Robert A. Kinsey,11201,x
2008,Delaware,Class II,DEM,Joe Biden,42,
2008,Delaware,Class II,REP,Christine O'Donnell,456,
2008,Georgia,Class II,DEM,Jim Martin,1549,
2008,Georgia,Class II,LIB,Allen Buckley,1550,x
2008,Georgia,Class II,REP,Saxby Chambliss,1548,
2008,Idaho,Class II,IND,Rex Rammell,9644,x
2008,Idaho,Class II,REP,James E. Risch,2710,
2008,Idaho,Class II,DEM,Larry LaRocco,1561,
2008,Idaho,Class II,IND,Marvin Richardson,4970,x
2008,Idaho,Class II,LIB,Kent A. Marmon,12750,x
2008,Illinois,Class II,CON,Chad Koppie,1578,x
2008,Illinois,Class II,LIB,Larry A. Stafford,12753,x
2008,Illinois,Class II,DEM,Richard J. Durbin,1574,
2008,Illinois,Class II,GRE,Kathleen J. Cummings,12752,x
2008,Illinois,Class II,REP,Steve Sauerberg,1575,
2008,Iowa,Class II,DEM,Tom Harkin,221,
2008,Iowa,Class II,REP,Christopher Reed,1557,
2008,Kansas,Class II,DEM,Jim Slattery,1581,
2008,Kansas,Class II,REP,Pat Roberts,1580,
2008,Kansas,Class II,LIB,Randall L. Hodgkinson,1582,x
2008,Kansas,Class II,REF,Joseph L. Martin,1583,x
2008,Kentucky,Class II,DEM,Bruce Lunsford,1586,
2008,Kentucky,Class II,REP,Mitch McConnell,1585,
2008,Louisiana,Class II,NPA,Jay Patel,12755,x
2008,Louisiana,Class II,REP,John Kennedy,1595,
2008,Louisiana,Class II,UNK,Robert Stewart,12756,x
2008,Louisiana,Class II,DEM,Mary L. Landrieu,1594,
2008,Louisiana,Class II,LIB,Richard M. Fontanesi,11239,x
2008,Maine,Class II,REP,Susan M. Collins,1602,
2008,Maine,Class II,DEM,Thomas H. Allen,1604,
2008,Massachusetts,Class II,REP,Jeffrey K. Beatty,1599,
2008,Massachusetts,Class II,DEM,John Kerry,59,
2008,Massachusetts,Class II,LIB,Robert Jospeh Underwood,11268,x
2008,Michigan,Class II,LIB,Scott Avery Boman,6108,x
2008,Michigan,Class II,REP,Jacob W. Hoogendyk Jr.,1607,
2008,Michigan,Class II,NLP,Doug Dern,10956,x
2008,Michigan,Class II,DEM,Carl Levin,1606,
2008,Michigan,Class II,GRE,Harley G. Mikkelson,6115,x
2008,Michigan,Class II,UST,Michael N. Nikitin,12757,x
2008,Minnesota,Class II,REP,Norm Coleman,1611,
2008,Minnesota,Class II,IDP,Dean Barkley,2515,x
2008,Minnesota,Class II,DEM,Al Franken,1610,
2008,Minnesota,Class II,CON,James J. Niemackl,12758,x
2008,Minnesota,Class II,LIB,Charles A. Aldrich,4516,x
2008,Mississippi,Class II,DEM,Erik R. Fleming,1627,
2008,Mississippi,Class II,REP,Thad Cochran,1626,
2008,Mississippi,Class I,REP,Roger F. Wicker,1001,
2008,Mississippi,Class I,DEM,Ronnie Musgrove,1625,
2008,Montana,Class II,REP,Bob Kelleher,1630,
2008,Montana,Class II,DEM,Max Baucus,1629,
2008,Nebraska,Class II,REP,Mike Johanns,1643,
2008,Nebraska,Class II,GRE,Steven R. Larrick,12427,x
2008,Nebraska,Class II,DEM,Scott Kleeb,1644,
2008,Nebraska,Class II,OTH,Kelly Renee Rosberg,12760,x
2008,New Hampshire,Class II,DEM,Jeanne Shaheen,1649,
2008,New Hampshire,Class II,REP,John E. Sununu,1650,
2008,New Hampshire,Class II,LIB,Ken Blevens,1438,x
2008,New Jersey,Class II,OTH,Jeffrey Harlan Boss,4687,x
2008,New Jersey,Class II,OTH,Daryl Mikell Brooks,6327,x
2008,New Jersey,Class II,OTH,J. M. Carter,11165,x
2008,New Jersey,Class II,LIB,Jason M. Scheurer,11166,x
2008,New Jersey,Class II,DEM,Frank R. Lautenberg,1652,
2008,New Jersey,Class II,REP,Dick Zimmer,1653,
2008,New Jersey,Class II,SWP,Sara J. Lobman,11167,x
2008,New Mexico,Class II,DEM,Tom Udall,1662,
2008,New Mexico,Class II,REP,Stevan Pearce,708,
2008,North Carolina,Class II,DEM,Kay R. Hagan,1636,
2008,North Carolina,Class II,LIB,Christopher Scott Cole,11164,x
2008,North Carolina,Class II,REP,Elizabeth H. Dole,170,
2008,Oklahoma,Class II,IND,Stephen P. Wallace,1471,x
2008,Oklahoma,Class II,REP,James M. Inhofe,1663,
2008,Oklahoma,Class II,DEM,Andrew Rice,1664,
2008,Oregon,Class II,DEM,Jeff Merkley,1667,
2008,Oregon,Class II,REP,Gordon H. Smith,1668,
2008,Oregon,Class II,CON,David M. Brownlow,1669,x
2008,Rhode Island,Class II,DEM,Jack Reed,1675,
2008,Rhode Island,Class II,REP,Robert G. Tingle,1676,
2008,South Carolina,Class II,REP,Lindsey Graham,1680,
2008,South Carolina,Class II,DEM,Bob Conley,1681,
2008,South Dakota,Class II,DEM,Tim Johnson,1684,
2008,South Dakota,Class II,REP,Joel D. Dykstra,1685,
2008,Tennessee,Class II,IND,Daniel Towers Lewis,6677,x
2008,Tennessee,Class II,IND,David Gatchell,6227,x
2008,Tennessee,Class II,IND,Christopher G. Fenner,12762,x
2008,Tennessee,Class II,IND,Ed Lawhorn,12763,x
2008,Tennessee,Class II,IND,Christopher J. Lugo,12743,x
2008,Tennessee,Class II,IND,Edward L. Buck,12761,x
2008,Tennessee,Class II,DEM,Robert D. Tuke,1688,
2008,Tennessee,Class II,REP,Lamar Alexander,167,
2008,Texas,Class II,REP,John Cornyn,1699,
2008,Texas,Class II,DEM,Rick Noriega,1700,
2008,Texas,Class II,LIB,Yvonne Adams Schick,11275,x
2008,Virginia,Class II,DEM,Mark R. Warner,67,
2008,Virginia,Class II,LIB,Bill Redpath,4385,x
2008,Virginia,Class II,IGR,Glenda Gail Parker,4383,x
2008,Virginia,Class II,REP,James S. Gilmore III,52,
2008,West Virginia,Class II,DEM,"John D. Rockefeller, IV",220,
2008,West Virginia,Class II,REP,Jay Wolfe,1708,
2008,Wyoming,Class I,REP,John Barrasso,1069,
2008,Wyoming,Class II,DEM,Christopher Rothfuss,1713,
2008,Wyoming,Class II,REP,Michael B. Enzi,1712,
2008,Wyoming,Class I,DEM,Nicholas H. Carter,1710,
2010,Alabama,Class III,REP,Richard C. Shelby,363,
2010,Alabama,Class III,DEM,William G. Barnes,364,
2010,Alaska,Class III,REP,Joe Miller,351,x
2010,Alaska,Class III,DEM,Scott T. McAdams,352,
2010,Alaska,Class III,UN,Robert Timothy Carter,12766,x
2010,Alaska,Class III,UN,Ted Gianoutsos,6358,x
2010,Alaska,Class III,REP,Lisa Murkowski,350,
2010,Alaska,Class III,LIB,Fredrick David Haase,11248,x
2010,Arizona,Class III,REP,John McCain,43,
2010,Arizona,Class III,LIB,David F. Nolan,11158,x
2010,Arizona,Class III,DEM,Rodney Britz Glassman,1257,
2010,Arizona,Class III,GRE,Jerry Joslyn,11157,x
2010,Arkansas,Class III,DEM,Blanche Lincoln,379,
2010,Arkansas,Class III,REP,John Boozman,376,
2010,Arkansas,Class III,GRE,John Laney Gray,11236,x
2010,Arkansas,Class III,IND,Trevor Drown,11159,x
2010,California,Class III,LIB,Gail Katherine Lightfoot,6183,x
2010,California,Class III,REP,Carly Fiorina,415,
2010,California,Class III,AIP,Edward C. Noonan,9261,x
2010,California,Class III,PAF,Marsha J. Feinland,6171,x
2010,California,Class III,GRE,Duane Roberts,11247,x
2010,California,Class III,DEM,Barbara Boxer,66,
2010,Colorado,Class III,UN,Charley Miller,12773,x
2010,Colorado,Class III,DEM,Michael Bennet,429,
2010,Colorado,Class III,GRE,Robert A. Kinsey,11201,x
2010,Colorado,Class III,UN,Jorge H. Moromisato,12774,x
2010,Colorado,Class III,OTH,Jason Napolitano,12772,x
2010,Colorado,Class III,LIB,Maclyn Stringer,11202,x
2010,Colorado,Class III,REP,Ken Buck,1280,
2010,Connecticut,Class III,DEM,Richard Blumenthal,447,
2010,Connecticut,Class III,OTH,John Mertens,11262,x
2010,Connecticut,Class III,IP,Warren Bruce Mosler,5935,x
2010,Connecticut,Class III,REP,Linda McMahon,448,
2010,Delaware,Class II,LIB,James W. Rash,12655,x
2010,Delaware,Class II,REP,Christine O'Donnell,456,
2010,Delaware,Class II,DEM,Christopher A. Coons,1299,
2010,Delaware,Class II,IDE,Glenn A. Miller,12654,x
2010,Florida,Class III,LIB,Alexander Andrew Snitker,11249,x
2010,Florida,Class III,NPA,Lewis J. Armstrong,12784,x
2010,Florida,Class III,DEM,Kendrick B. Meek,480,
2010,Florida,Class III,REP,Marco Rubio,481,
2010,Florida,Class III,NPA,Rick Tyler,12783,x
2010,Florida,Class III,NPA,Bruce Ray Riggs,4800,x
2010,Florida,Class III,IND,Charlie Crist,479,x
2010,Florida,Class III,CON,Bernie DeCastro,12781,x
2010,Florida,Class III,NPA,Bobbie Bean,12785,x
2010,Florida,Class III,NPA,Sue Askeland,12782,x
2010,Georgia,Class III,LIB,Chuck Donovan,11204,x
2010,Georgia,Class III,REP,Johnny Isakson,495,
2010,Georgia,Class III,DEM,Michael Thurmond,496,
2010,Hawaii,Class III,GRE,Jim Brewer,9272,x
2010,Hawaii,Class III,LIB,Lloyd Jeffrey Mallan,11544,x
2010,Hawaii,Class III,DEM,Daniel K. Inouye,504,
2010,Hawaii,Class III,N,Jeff S. Jarrett,12793,x
2010,Hawaii,Class III,REP,Cam Cavasso,505,
2010,Idaho,Class III,CON,Randy Lynn Bergquist,11235,x
2010,Idaho,Class III,DEM,Tom Sullivan,526,
2010,Idaho,Class III,REP,Mike Crapo,525,
2010,Illinois,Class III,REP,Mark Kirk,544,
2010,Illinois,Class III,DEM,Alexi Giannoulias,543,
2010,Illinois,Class III,LIB,Mike Labno,11155,x
2010,Illinois,Class III,DEM,Alexi Giannoulias,543,x
2010,Illinois,Class III,GRE,LeAlan M. Jones,11154,x
2010,Illinois,Class III,LIB,Mike Labno,11155,x
2010,Indiana,Class III,REP,Daniel Coats,1355,
2010,Indiana,Class III,DEM,Brad Ellsworth,559,
2010,Indiana,Class III,LIB,Rebecca Sink-Burris,1356,x
2010,Iowa,Class III,REP,Chuck Grassley,517,
2010,Iowa,Class III,LIB,John Heiderscheit,11256,x
2010,Iowa,Class III,DEM,Roxanne Conlin,515,
2010,Kansas,Class III,DEM,Lisa Johnston,570,
2010,Kansas,Class III,REF,Joseph K. Bellis,11270,x
2010,Kansas,Class III,LIB,Michael William Dann,11269,x
2010,Kansas,Class III,REP,Jerry Moran,566,
2010,Kentucky,Class III,DEM,Jack Conway,575,
2010,Kentucky,Class III,REP,Rand Paul,30,
2010,Louisiana,Class III,NPA,Sam Houston Melton,12394,x
2010,Louisiana,Class III,DEM,Charlie Melancon,1375,
2010,Louisiana,Class III,NPA,Michael Karlton Brown,11214,x
2010,Louisiana,Class III,UNK,Thomas G. LaFargue,12800,x
2010,Louisiana,Class III,REP,David Vitter,581,
2010,Louisiana,Class III,LIB,Randall T. Hayes,11213,x
2010,Louisiana,Class III,REF,William R. McShan,11258,x
2010,Louisiana,Class III,NPA,Milton Gordon,12797,x
2010,Louisiana,Class III,OTH,Michael Lane Spears,11215,x
2010,Louisiana,Class III,UNK,William Robert Lang,11938,x
2010,Louisiana,Class III,UNK,Ernest D. Woolon,12799,x
2010,Louisiana,Class III,NPA,RA Galan,12709,x
2010,Maryland,Class III,GRE,Kenniss Henry,12801,x
2010,Maryland,Class III,CON,Richard Shawver,8082,x
2010,Maryland,Class III,DEM,Barbara A. Mikulski,594,
2010,Maryland,Class III,REP,Eric Wargotz,596,
2010,Missouri,Class III,REP,Roy Blunt,644,
2010,Missouri,Class III,LIB,Jonathan Dine,1198,x
2010,Missouri,Class III,CON,Jerry Garth Beck,6118,x
2010,Missouri,Class III,DEM,Robin Carnahan,11182,
2010,Nevada,Class III,REP,Sharron Angle,716,
2010,Nevada,Class III,IAP,Timothy Fasano,11186,x
2010,Nevada,Class III,IND,Michael L. Haines,5879,x
2010,Nevada,Class III,IND,Jeffrey C. Reeves,12502,x
2010,Nevada,Class III,TEA,Scott Ashjian,11242,x
2010,Nevada,Class III,DEM,Harry Reid,718,
2010,Nevada,Class III,IND,Jesse Holland,11251,x
2010,Nevada,Class III,IND,Wil Stand,12811,x
2010,New Hampshire,Class III,IND,Chris Booth,11153,x
2010,New Hampshire,Class III,REP,Kelly Ayotte,688,
2010,New Hampshire,Class III,DEM,Paul W. Hodes,690,
2010,New Hampshire,Class III,LIB,Ken Blevens,1438,x
2010,New York,Class I,OTH,Joseph Huff,12659,x
2010,New York,Class I,GRE,Cecile Ann Lawrence,12658,x
2010,New York,Class III,REP,Jay Townsend,746,
2010,New York,Class III,GRE,Colia Clark,6151,x
2010,New York,Class III,LIB,Randolph A. Credico,6570,x
2010,New York,Class I,REP,Joseph J. DioGuardi,8180,
2010,New York,Class I,OTH,Vivia M. Morgan,5302,x
2010,New York,Class III,DEM,Charles E. Schumer,744,
2010,New York,Class I,LIB,John Clifton,9309,x
2010,New York,Class I,DEM,Kirsten E. Gillibrand,748,
2010,New York,Class I,OTH,Bruce Blakeman,747,x
2010,North Carolina,Class III,DEM,Elaine Marshall,666,
2010,North Carolina,Class III,REP,Richard Burr,663,
2010,North Carolina,Class III,LIB,Michael A. Beitler,10289,x
2010,North Dakota,Class III,DEM,Tracy Potter,670,
2010,North Dakota,Class III,REP,John Hoeven,669,
2010,North Dakota,Class III,LIB,Keith J. Hanson,12812,x
2010,Ohio,Class III,DEM,Lee Fisher,771,
2010,Ohio,Class III,REP,Rob Portman,772,
2010,Ohio,Class III,IND,Michael L. Pryce,6166,x
2010,Ohio,Class III,CON,Eric W. Deaton,11168,x
2010,Ohio,Class III,SUS,Daniel H. La Botz,11169,x
2010,Oklahoma,Class III,DEM,Jim Rogers,779,
2010,Oklahoma,Class III,REP,Tom Coburn,777,
2010,Oklahoma,Class III,IND,Ronald F. Dwyer,11257,x
2010,Oklahoma,Class III,IND,Stephen P. Wallace,1471,x
2010,Oregon,Class III,OTH,Bruce W. Cronk,11271,x
2010,Oregon,Class III,LIB,Marc L. Delphine,11200,x
2010,Oregon,Class III,PRO,Richard K. Staggenborg,11272,x
2010,Oregon,Class III,DEM,Ron Wyden,788,
2010,Oregon,Class III,REP,Jim Huffman,789,
2010,Pennsylvania,Class III,DEM,Joe Sestak,818,
2010,Pennsylvania,Class III,REP,Patrick J. Toomey,1484,
2010,South Carolina,Class III,REP,Jim DeMint,24,
2010,South Carolina,Class III,DEM,Alvin Greene,839,
2010,South Carolina,Class III,GRE,Thomas Clements,6380,x
2010,South Dakota,Class III,REP,John R. Thune,22,
2010,Utah,Class III,DEM,Samuel Frank Granato,1489,
2010,Utah,Class III,CON,Scott N. Bradley,11178,x
2010,Utah,Class III,REP,Mike Lee,873,
2010,Vermont,Class III,IND,Daniel Freilich,11237,x
2010,Vermont,Class III,REP,Leonard Wheeler Britton,890,
2010,Vermont,Class III,OTH,Cris Ericson,6318,x
2010,Vermont,Class III,IND,Stephen J. Cain,11238,x
2010,Vermont,Class III,IND,Johenry Nunes,12814,x
2010,Vermont,Class III,DEM,Patrick J. Leahy,891,
2010,Vermont,Class III,SUS,Pete Diamondstone,6317,x
2010,Washington,Class III,REP,Dino Rossi,908,
2010,Washington,Class III,DEM,Patty Murray,907,
2010,West Virginia,Class I,DEM,"Joe Manchin, III",925,
2010,West Virginia,Class I,MTP,Jesse Johnson,9249,x
2010,West Virginia,Class I,CON,Jeff C. Becker,12660,x
2010,West Virginia,Class I,REP,John Raese,927,
2010,Wisconsin,Class III,DEM,Russ Feingold,64,
2010,Wisconsin,Class III,CON,Robert Taylor,12815,x
2010,Wisconsin,Class III,REP,Ron Johnson,919,
2012,Arizona,Class I,LIB,Marc Victor,6196,x
2012,Arizona,Class I,DEM,Richard Carmona,1070,
2012,Arizona,Class I,REP,Jeff Flake,938,
2012,California,Class I,REP,Elizabeth Emken,1125,
2012,California,Class I,DEM,Dianne Feinstein,943,
2012,Connecticut,Class I,LIB,Paul Passarelli,6145,x
2012,Connecticut,Class I,DEM,Christopher S. Murphy,446,
2012,Connecticut,Class I,REP,Linda McMahon,448,
2012,Delaware,Class I,IND,Alexander Pires,6149,x
2012,Delaware,Class I,REP,Kevin Wade,4515,
2012,Delaware,Class I,GRE,Andrew Richard Groff,6148,x
2012,Delaware,Class I,DEM,Thomas R. Carper,951,
2012,Florida,Class I,W,Lawrence Sidney Scott,6103,x
2012,Florida,Class I,REP,Connie Mack,1073,
2012,Florida,Class I,W,Piotr Blass,6085,x
2012,Florida,Class I,DEM,Bill Nelson,953,
2012,Florida,Class I,W,Lionel Long,6097,x
2012,Florida,Class I,W,Naomi L. Craine,6089,x
2012,Florida,Class I,NPA,Chris Borgia,6087,x
2012,Florida,Class I,NPA,William G. Gaylor,6091,x
2012,Florida,Class I,W,Robert Monroe,6102,x
2012,Hawaii,Class I,DEM,Mazie K. Hirono,502,
2012,Hawaii,Class I,REP,Linda Lingle,1075,
2012,Indiana,Class I,LIB,Andrew Horning,1181,x
2012,Indiana,Class I,REP,Richard Mourdock,966,
2012,Indiana,Class I,DEM,Joe Donnelly,547,
2012,Maine,Class I,IND,Andrew Ian Dodge,6280,x
2012,Maine,Class I,DEM,Cynthia Dill,1183,x
2012,Maine,Class I,DEM,Angus S. King Jr.,1187,
2012,Maine,Class I,REP,Charlie Summers,1186,
2012,Maine,Class I,NON,Danny Francis Dalton,6278,x
2012,Maine,Class I,IND,Stephen M. Woods,6288,x
2012,Maryland,Class I,LIB,Dean A. Ahmad,6289,x
2012,Maryland,Class I,DEM,Lih Y. Young,4297,x
2012,Maryland,Class I,DEM,Benjamin L. Cardin,981,
2012,Maryland,Class I,IND,Rob Sobhani,1182,x
2012,Maryland,Class I,REP,Daniel J. Bongino,979,
2012,Maryland,Class I,DEM,Ed Tinus,6304,x
2012,Massachusetts,Class I,DEM,Elizabeth Ann Warren,975,
2012,Massachusetts,Class I,REP,Scott Brown,976,
2012,Michigan,Class I,NLP,John D. Litle,6112,x
2012,Michigan,Class I,GRE,Harley G. Mikkelson,6115,x
2012,Michigan,Class I,TX,Richard A. Matkin,6114,x
2012,Michigan,Class I,LIB,Scott Avery Boman,6108,x
2012,Michigan,Class I,REP,Pete Hoekstra,608,
2012,Michigan,Class I,DEM,Debbie Stabenow,984,
2012,Minnesota,Class I,REP,Kurt Patrick Bills,1193,
2012,Minnesota,Class I,OTH,Michael James Cavlan,6131,x
2012,Minnesota,Class I,DEM,Amy Klobuchar,992,
2012,Minnesota,Class I,IDP,Stephen J. Williams,4513,x
2012,Minnesota,Class I,GRT,Tim A. Davis,6132,x
2012,Mississippi,Class I,REF,Shawn R. O'Hara,4699,x
2012,Mississippi,Class I,REP,Roger F. Wicker,1001,
2012,Mississippi,Class I,DEM,Albert N. Gore,6345,
2012,Mississippi,Class I,CON,Thomas Cramer,6344,x
2012,Missouri,Class I,REP,Todd Akin,1000,
2012,Missouri,Class I,DEM,Claire McCaskill,997,
2012,Missouri,Class I,LIB,Jonathan Dine,1198,x
